task	round_prev_idx	round_idx	round_no_in_episode	episode_rounds	phase	risk_class	prev_outcome	prev_valid_findings	outcome	valid_findings	severities	changed_since_prev	commit_prev	commit_this	window_start	window_end	status	exclusion_reason	n_commits	commits	lines_added	lines_deleted	subst_added	subst_deleted	files_touched	code_files	doc_files	code_noncomment_added	comment_added	doc_added	new_tokens	shape3	shape2	token_shape	subst_added_excl_prev	subst_deleted_excl_prev	shape3_excl_prev	shared_commits	window_overlaps_other_episode	artifact_risk_class	artifact_total_rounds	shape_corrected
workflow-hardening	1	2	2	2	plan_review	low_risk	new_valid	14	new_valid	12	high;medium;medium;medium;medium;medium;low;low;low;low;low;low	True	eaaf13a97	eaaf13a97	2026-07-15T18:08:44+01:00	2026-07-15T18:08:44+01:00	excluded	shared_recording_commit	0																			0	no	low_risk	2	
workflow-doc-fixes	5	6	2	2	work_review	low_risk	new_valid	7	clean	0		True	eaaf13a97	eaaf13a97	2026-07-15T18:08:44+01:00	2026-07-15T18:08:44+01:00	excluded	shared_recording_commit	0																			0	no	low_risk	2	
triager-independence	9	10	2	2	work_review	low_risk	new_valid	3	clean	0		True	eaaf13a97	eaaf13a97	2026-07-15T18:08:44+01:00	2026-07-15T18:08:44+01:00	excluded	shared_recording_commit	0																			0	no	low_risk	2	
file-safety-rules	11	12	2	3	work_review	low_risk	new_valid	3	new_valid	1	low	True	eaaf13a97	eaaf13a97	2026-07-15T18:08:44+01:00	2026-07-15T18:08:44+01:00	excluded	shared_recording_commit	0																			0	no	low_risk	3	
file-safety-rules	12	13	3	3	work_review	low_risk	new_valid	1	clean	0		True	eaaf13a97	eaaf13a97	2026-07-15T18:08:44+01:00	2026-07-15T18:08:44+01:00	excluded	shared_recording_commit	0																			0	no	low_risk	3	
agent-isolation	14	15	2	2	work_review	low_risk	new_valid	2	clean	0		True	eaaf13a97	eaaf13a97	2026-07-15T18:08:44+01:00	2026-07-15T18:08:44+01:00	excluded	shared_recording_commit	0																			0	no	low_risk	2	
human-onboarding	17	18	2	2	work_review	low_risk	new_valid	3	clean	0		True	eaaf13a97	eaaf13a97	2026-07-15T18:08:44+01:00	2026-07-15T18:08:44+01:00	excluded	shared_recording_commit	0																			0	no	low_risk	2	
gate-prompt-clarity	19	20	2	2	work_review	low_risk	new_valid	3	clean	0		True	eaaf13a97	eaaf13a97	2026-07-15T18:08:44+01:00	2026-07-15T18:08:44+01:00	excluded	shared_recording_commit	0																			0	no	low_risk	2	
compaction-prep	21	22	2	2	work_review	low_risk	new_valid	3	clean	0		True	eaaf13a97	eaaf13a97	2026-07-15T18:08:44+01:00	2026-07-15T18:08:44+01:00	excluded	shared_recording_commit	0																			0	no	low_risk	2	
deliberation-mode	23	24	2	3	work_review	risky	new_valid	4	clean	0		True	eaaf13a97	eaaf13a97	2026-07-15T18:08:44+01:00	2026-07-15T18:08:44+01:00	excluded	shared_recording_commit	0																			0	no	risky	3	
deliberation-mode	24	25	3	3	work_review	risky	clean	0	clean	0		False	eaaf13a97	eaaf13a97	2026-07-15T18:08:44+01:00	2026-07-15T18:08:44+01:00	excluded	shared_recording_commit	0																			0	no	risky	3	
human-review-queue	26	27	2	2	work_review	low_risk	new_valid	5	clean	0		True	eaaf13a97	eaaf13a97	2026-07-15T18:08:44+01:00	2026-07-15T18:08:44+01:00	excluded	shared_recording_commit	0																			0	no	low_risk	2	
no-wrap-convention	28	29	2	3	work_review	risky	new_valid	2	clean	0		True	eaaf13a97	eaaf13a97	2026-07-15T18:08:44+01:00	2026-07-15T18:08:44+01:00	excluded	shared_recording_commit	0																			0	no	risky	3	
no-wrap-convention	29	30	3	3	work_review	risky	clean	0	clean	0		False	eaaf13a97	eaaf13a97	2026-07-15T18:08:44+01:00	2026-07-15T18:08:44+01:00	excluded	shared_recording_commit	0																			0	no	risky	3	
findings-files	31	32	2	2	work_review	low_risk	new_valid	4	clean	0		True	eaaf13a97	eaaf13a97	2026-07-15T18:08:44+01:00	2026-07-15T18:08:44+01:00	excluded	shared_recording_commit	0																			0	no	low_risk	2	
ledger-template	33	34	2	2	work_review	low_risk	new_valid	4	clean	0		True	eaaf13a97	eaaf13a97	2026-07-15T18:08:44+01:00	2026-07-15T18:08:44+01:00	excluded	shared_recording_commit	0																			0	no	low_risk	2	
instrument-flag	35	36	2	2	work_review	low_risk	new_valid	4	clean	0		True	eaaf13a97	eaaf13a97	2026-07-15T18:08:44+01:00	2026-07-15T18:08:44+01:00	excluded	shared_recording_commit	0																			0	no	low_risk	2	
state-schema-inc1	37	38	2	2	work_review	low_risk	new_valid	1	clean	0		True	eaaf13a97	eaaf13a97	2026-07-15T18:08:44+01:00	2026-07-15T18:08:44+01:00	excluded	shared_recording_commit	0																			0	no	low_risk	2	
state-schema-inc2	39	40	2	4	work_review	low_risk	new_valid	2	new_valid	1	low	True	eaaf13a97	eaaf13a97	2026-07-15T18:08:44+01:00	2026-07-15T18:08:44+01:00	excluded	shared_recording_commit	0																			0	no	low_risk	4	
state-schema-inc2	40	41	3	4	work_review	low_risk	new_valid	1	new_valid	1	low	True	eaaf13a97	eaaf13a97	2026-07-15T18:08:44+01:00	2026-07-15T18:08:44+01:00	excluded	shared_recording_commit	0																			0	no	low_risk	4	
state-schema-inc2	41	42	4	4	work_review	low_risk	new_valid	1	clean	0		True	eaaf13a97	eaaf13a97	2026-07-15T18:08:44+01:00	2026-07-15T18:08:44+01:00	excluded	shared_recording_commit	0																			0	no	low_risk	4	
state-schema-inc3	43	44	2	2	work_review	low_risk	new_valid	6	clean	0		True	eaaf13a97	eaaf13a97	2026-07-15T18:08:44+01:00	2026-07-15T18:08:44+01:00	excluded	shared_recording_commit	0																			0	no	low_risk	2	
optional-modules-inc1	45	46	2	2	work_review	low_risk	new_valid	4	clean	0		True	7604b7785	2a696be7d	2026-07-16T08:02:24+01:00	2026-07-16T08:17:44+01:00	included		2	7604b7785,a7ae6edbe	235	27	194	27	3	1	2	122	48	24	1249	mixed	authoring	new_tokens	191	25	mixed	0	no	low_risk	2	authoring
metrics-fields	47	48	2	2	work_review	low_risk	new_valid	3	clean	0		True	11595d75d	11595d75d	2026-07-16T09:38:16+01:00	2026-07-16T09:38:16+01:00	excluded	shared_recording_commit	0																			0	no	low_risk	2	
exploration-mode	49	50	2	2	work_review	low_risk	new_valid	6	clean	0		True	debb4f9ba	debb4f9ba	2026-07-16T10:38:11+01:00	2026-07-16T10:38:11+01:00	excluded	shared_recording_commit	0																			0	no	low_risk	2	
session-preflight	51	52	2	2	work_review	low_risk	new_valid	8	clean	0		True	ed2504678	ed2504678	2026-07-16T13:09:49+01:00	2026-07-16T13:09:49+01:00	excluded	shared_recording_commit	0																			0	no	low_risk	2	
round-log-core-incA	53	54	2	2	work_review	low_risk	new_valid	1	clean	0		True	6f38a04c9	6f38a04c9	2026-07-16T14:33:09+01:00	2026-07-16T14:33:09+01:00	excluded	shared_recording_commit	0																			0	no	low_risk	2	
round-log-core-incB	55	56	2	3	work_review	risky	new_valid	5	clean	0		True	8b7ce6d17	8b7ce6d17	2026-07-16T15:18:53+01:00	2026-07-16T15:18:53+01:00	excluded	shared_recording_commit	0																			0	no	risky	3	
round-log-core-incB	56	57	3	3	work_review	risky	clean	0	clean	0		False	8b7ce6d17	8b7ce6d17	2026-07-16T15:18:53+01:00	2026-07-16T15:18:53+01:00	excluded	shared_recording_commit	0																			0	no	risky	3	
plan-fold	58	59	2	2	plan_review	low_risk	new_valid	7	clean	0		True	952445bdf	952445bdf	2026-07-17T07:41:40+01:00	2026-07-17T07:41:40+01:00	excluded	shared_recording_commit	0																			0	no	low_risk	4	
workflow-invariants	60	61	2	3	work_review	risky	new_valid	11	clean	0		True	abdb70292	abdb70292	2026-07-17T10:26:57+01:00	2026-07-17T10:26:57+01:00	excluded	shared_recording_commit	0																			0	no	risky	3	
workflow-invariants	61	62	3	3	work_review	risky	clean	0	clean	0		False	abdb70292	abdb70292	2026-07-17T10:26:57+01:00	2026-07-17T10:26:57+01:00	excluded	shared_recording_commit	0																			0	no	risky	3	
review-mode	63	64	2	2	work_review	low_risk	new_valid	3	clean	0		True	f24b2a19e	f24b2a19e	2026-07-17T12:01:31+01:00	2026-07-17T12:01:31+01:00	excluded	shared_recording_commit	0																			0	no	low_risk	2	
reviewer-diversity	65	66	2	2	work_review	low_risk	new_valid	4	clean	0		True	9efcb910b	9efcb910b	2026-07-17T14:48:43+01:00	2026-07-17T14:48:43+01:00	excluded	shared_recording_commit	0																			0	no	low_risk	2	
reviewer-harness-field	67	68	2	2	work_review	low_risk	new_valid	3	clean	0		True	7fe679081	7fe679081	2026-07-17T22:29:54+01:00	2026-07-17T22:29:54+01:00	excluded	shared_recording_commit	0																			0	no	low_risk	2	
optional-modules-inc2a	69	70	2	2	work_review	low_risk	new_valid	9	clean	0		True	1eee03fd5	1eee03fd5	2026-07-17T23:08:46+01:00	2026-07-17T23:08:46+01:00	excluded	shared_recording_commit	0																			0	no	low_risk	2	
optional-modules-inc2b	71	72	2	3	work_review	low_risk	new_valid	8	new_valid	1	low	True	ca43a66a6	ca43a66a6	2026-07-18T00:31:32+01:00	2026-07-18T00:31:32+01:00	excluded	shared_recording_commit	0																			0	no	low_risk	3	
optional-modules-inc2b	72	73	3	3	work_review	low_risk	new_valid	1	clean	0		True	ca43a66a6	ca43a66a6	2026-07-18T00:31:32+01:00	2026-07-18T00:31:32+01:00	excluded	shared_recording_commit	0																			0	no	low_risk	3	
optional-modules-inc2ci	74	75	2	4	work_review	risky	new_valid	11	new_valid	1	medium	True	67ba85281	67ba85281	2026-07-18T09:09:35+01:00	2026-07-18T09:09:35+01:00	excluded	shared_recording_commit	0																			0	no	risky	4	
optional-modules-inc2ci	75	76	3	4	work_review	risky	new_valid	1	clean	0		True	67ba85281	67ba85281	2026-07-18T09:09:35+01:00	2026-07-18T09:09:35+01:00	excluded	shared_recording_commit	0																			0	no	risky	4	
optional-modules-inc2ci	76	77	4	4	work_review	risky	clean	0	clean	0		False	67ba85281	67ba85281	2026-07-18T09:09:35+01:00	2026-07-18T09:09:35+01:00	excluded	shared_recording_commit	0																			0	no	risky	4	
optional-modules-inc2cii	78	79	2	5	work_review	risky	new_valid	9	new_valid	2	high;low	True	0af1bcbe3	0af1bcbe3	2026-07-18T11:32:33+01:00	2026-07-18T11:32:33+01:00	excluded	shared_recording_commit	0																			0	no	risky	5	
optional-modules-inc2cii	79	80	3	5	work_review	risky	new_valid	2	new_valid	1	high	True	0af1bcbe3	0af1bcbe3	2026-07-18T11:32:33+01:00	2026-07-18T11:32:33+01:00	excluded	shared_recording_commit	0																			0	no	risky	5	
optional-modules-inc2cii	80	81	4	5	work_review	risky	new_valid	1	new_valid	1	low	True	0af1bcbe3	0af1bcbe3	2026-07-18T11:32:33+01:00	2026-07-18T11:32:33+01:00	excluded	shared_recording_commit	0																			0	no	risky	5	
optional-modules-inc2cii	81	82	5	5	work_review	risky	new_valid	1	clean	0		True	0af1bcbe3	0af1bcbe3	2026-07-18T11:32:33+01:00	2026-07-18T11:32:33+01:00	excluded	shared_recording_commit	0																			0	no	risky	5	
optional-modules-inc3	83	84	2	2	work_review	low_risk	new_valid	5	clean	0		True	424fd9190	da19979de	2026-07-18T12:32:11+01:00	2026-07-18T12:46:28+01:00	included		1	87ebc6ef4	6	4	5	4	1	0	1	0	0	5	110	mixed	authoring	new_tokens	5	4	mixed	0	no	low_risk	2	authoring
decision-receipt	85	86	2	4	work_review	risky	new_valid	4	new_valid	2	low;low	True	9fa5eaaba	9fa5eaaba	2026-07-18T16:59:27+01:00	2026-07-18T16:59:27+01:00	excluded	shared_recording_commit	0																			0	no	risky	4	
decision-receipt	86	87	3	4	work_review	risky	new_valid	2	clean	0		True	9fa5eaaba	9fa5eaaba	2026-07-18T16:59:27+01:00	2026-07-18T16:59:27+01:00	excluded	shared_recording_commit	0																			0	no	risky	4	
decision-receipt	87	88	4	4	work_review	risky	clean	0	clean	0		False	9fa5eaaba	9fa5eaaba	2026-07-18T16:59:27+01:00	2026-07-18T16:59:27+01:00	excluded	shared_recording_commit	0																			0	no	risky	4	
waiver-model	89	90	2	5	work_review	risky	new_valid	9	new_valid	2	low;low	True	f42b36cb2	f42b36cb2	2026-07-18T19:55:12+01:00	2026-07-18T19:55:12+01:00	excluded	shared_recording_commit	0																			0	no	risky	5	
waiver-model	90	91	3	5	work_review	risky	new_valid	2	clean	0		True	f42b36cb2	f42b36cb2	2026-07-18T19:55:12+01:00	2026-07-18T19:55:12+01:00	excluded	shared_recording_commit	0																			0	no	risky	5	
waiver-model	91	92	4	5	work_review	risky	clean	0	new_valid	1	low	False	f42b36cb2	f42b36cb2	2026-07-18T19:55:12+01:00	2026-07-18T19:55:12+01:00	excluded	shared_recording_commit	0																			0	no	risky	5	
waiver-model	92	93	5	5	work_review	risky	new_valid	1	clean	0		True	f42b36cb2	f42b36cb2	2026-07-18T19:55:12+01:00	2026-07-18T19:55:12+01:00	excluded	shared_recording_commit	0																			0	no	risky	5	
structured-skeleton	94	95	2	2	plan_review	low_risk	new_valid	11	clean	0		True	5175c3b39	5175c3b39	2026-07-18T23:46:00+01:00	2026-07-18T23:46:00+01:00	excluded	shared_recording_commit	0																			0	no	risky	6	
structured-skeleton-inc2	96	97	2	2	work_review	low_risk	new_valid	4	clean	0		True	8d9896721	8d9896721	2026-07-19T01:23:02+01:00	2026-07-19T01:23:02+01:00	excluded	shared_recording_commit	0																			0	no	low_risk	2	
structured-skeleton-inc1	98	99	2	2	work_review	low_risk	new_valid	11	clean	0		True	9afe56774	9afe56774	2026-07-19T01:37:39+01:00	2026-07-19T01:37:39+01:00	excluded	shared_recording_commit	0																			0	no	low_risk	2	
structured-skeleton-inc3	100	101	2	5	work_review	risky	new_valid	13	new_valid	4	low;low;low;low	True	3f29a81a3	3f29a81a3	2026-07-19T03:48:09+01:00	2026-07-19T03:48:09+01:00	excluded	shared_recording_commit	0																			0	no	risky	5	
structured-skeleton-inc3	101	102	3	5	work_review	risky	new_valid	4	new_valid	1	low	True	3f29a81a3	3f29a81a3	2026-07-19T03:48:09+01:00	2026-07-19T03:48:09+01:00	excluded	shared_recording_commit	0																			0	no	risky	5	
structured-skeleton-inc3	102	103	4	5	work_review	risky	new_valid	1	clean	0		True	3f29a81a3	3f29a81a3	2026-07-19T03:48:09+01:00	2026-07-19T03:48:09+01:00	excluded	shared_recording_commit	0																			0	no	risky	5	
structured-skeleton-inc3	103	104	5	5	work_review	risky	clean	0	clean	0		True	3f29a81a3	3f29a81a3	2026-07-19T03:48:09+01:00	2026-07-19T03:48:09+01:00	excluded	shared_recording_commit	0																			0	no	risky	5	
structured-skeleton-inc4	105	106	2	3	work_review	risky	new_valid	5	clean	0		True	707532a30	707532a30	2026-07-19T09:16:49+01:00	2026-07-19T09:16:49+01:00	excluded	shared_recording_commit	0																			0	no	risky	3	
structured-skeleton-inc4	106	107	3	3	work_review	risky	clean	0	clean	0		True	707532a30	707532a30	2026-07-19T09:16:49+01:00	2026-07-19T09:16:49+01:00	excluded	shared_recording_commit	0																			0	no	risky	3	
structured-skeleton-inc5	108	109	2	2	work_review	risky	clean	0	clean	0		False	7005e8477	7005e8477	2026-07-19T11:15:21+01:00	2026-07-19T11:15:21+01:00	excluded	shared_recording_commit	0																			0	no	risky	2	
structured-skeleton	110	111	2	4	work_review	risky	new_valid	2	new_valid	2	medium;low	True	ffb8657ed	e06a89b92	2026-07-19T12:11:22+01:00	2026-07-19T13:21:48+01:00	included		7	ffb8657ed,cffde3a00,593f8c902,97d5997d1,f230f80b6,deda349ff,f5f3ba605	802	148	565	114	45	8	37	177	89	299	12298	mixed	authoring	new_tokens	548	111	mixed	0	no	risky	6	authoring
structured-skeleton	111	112	3	4	work_review	risky	new_valid	2	clean	0		True	e06a89b92	cdda485d0	2026-07-19T13:21:48+01:00	2026-07-19T13:37:21+01:00	included		1	5b701286a	66	5	54	5	2	2	0	31	23	0	372	mixed	authoring	new_tokens	54	5	mixed	0	no	risky	6	authoring
structured-skeleton	112	113	4	4	work_review	risky	clean	0	new_valid	1	low	False	cdda485d0	b085b2e1b	2026-07-19T13:37:21+01:00	2026-07-19T14:07:02+01:00	included		1	ce0d36cbb	5	1	5	1	1	1	0	1	4	0	31	mixed	authoring	new_tokens	5	1	mixed	0	no	risky	6	no_change
workflow-driver	116	117	2	3	work_review	risky	new_valid	3	clean	0		True	8039904ee	8039904ee	2026-07-19T20:57:27+01:00	2026-07-19T20:57:27+01:00	excluded	shared_recording_commit	0																			0	no	risky	9	
workflow-driver	117	118	3	3	work_review	risky	clean	0	clean	0		False	8039904ee	8039904ee	2026-07-19T20:57:27+01:00	2026-07-19T20:57:27+01:00	excluded	shared_recording_commit	0																			0	no	risky	9	
workflow-driver	119	120	2	2	work_review	risky	clean	0	clean	0		False	e3f44a0cd	e3f44a0cd	2026-07-19T21:57:44+01:00	2026-07-19T21:57:44+01:00	excluded	shared_recording_commit	0																			0	no	risky	9	
human-input-gate-reinforce	121	122	2	2	work_review	low_risk	new_valid	1	clean	0		True	ab5b0c5e5	ab5b0c5e5	2026-07-19T22:42:00+01:00	2026-07-19T22:42:00+01:00	excluded	shared_recording_commit	0																			0	no	low_risk	2	
workflow-driver	123	124	2	4	work_review	risky	new_valid	2	new_valid	1	medium	True	89404e847	361192387	2026-07-19T23:48:49+01:00	2026-07-20T00:10:23+01:00	included		2	e18a367ae,c01270361	83	15	75	15	2	2	0	39	36	0	509	mixed	authoring	new_tokens	75	15	mixed	0	no	risky	9	authoring
workflow-driver	124	125	3	4	work_review	risky	new_valid	1	clean	0		True	361192387	4fee24367	2026-07-20T00:10:23+01:00	2026-07-20T00:21:22+01:00	included		1	5e5deda14	34	6	30	6	1	1	0	10	20	0	231	mixed	authoring	new_tokens	30	6	mixed	0	no	risky	9	authoring
workflow-driver	125	126	4	4	work_review	risky	clean	0	clean	0		False	4fee24367	38a39c05f	2026-07-20T00:21:22+01:00	2026-07-20T00:29:24+01:00	included		0		0	0	0	0	0	0	0	0	0	0	0	no_change	no_change	no_change	0	0	no_change	0	no	risky	9	no_change
task-entry-regrounding	127	128	2	2	work_review	low_risk	new_valid	2	clean	0		True	9b1ea515c	2ace2d78a	2026-07-20T07:38:34+01:00	2026-07-20T07:46:27+01:00	included		2	9b1ea515c,0b57b0812	8	8	8	8	7	1	6	1	0	7	51	mixed	authoring	new_tokens	5	5	mixed	0	no	risky	5	authoring
task-entry-regrounding	129	130	2	3	work_review	risky	new_valid	2	clean	0		True	7d8702cb6	5f73cc917	2026-07-20T08:16:26+01:00	2026-07-20T08:26:45+01:00	included		2	9115327fe,616661f54	18	18	18	18	3	2	1	0	17	1	88	mixed	authoring	new_tokens	18	18	mixed	0	no	risky	5	authoring
task-entry-regrounding	130	131	3	3	work_review	risky	clean	0	clean	0		False	5f73cc917	6e3c73aa1	2026-07-20T08:26:45+01:00	2026-07-20T08:34:37+01:00	included		0		0	0	0	0	0	0	0	0	0	0	0	no_change	no_change	no_change	0	0	no_change	0	no	risky	5	no_change
backlog-promotion	132	133	2	2	plan_review	low_risk	new_valid	1	clean	0		True	c9d4e563c	c9d4e563c	2026-07-20T10:15:16+01:00	2026-07-20T10:15:16+01:00	excluded	shared_recording_commit	0																			0	no	low_risk	2	
plan-fold	134	135	2	2	plan_review	low_risk	new_valid	1	clean	0		True	d173cd11a	d173cd11a	2026-07-20T10:47:41+01:00	2026-07-20T10:47:41+01:00	excluded	shared_recording_commit	0																			0	no	low_risk	4	
driver-output-generation	137	138	2	3	work_review	risky	new_valid	3	clean	0		True	421cc92aa	05d88c5ee	2026-07-20T11:31:44+01:00	2026-07-20T11:42:54+01:00	included		3	9c125dce6,3995851f9,a133e9699	38	5	31	5	6	2	4	21	6	4	147	mixed	authoring	new_tokens	31	5	mixed	0	no	risky	7	authoring
driver-output-generation	138	139	3	3	work_review	risky	clean	0	clean	0		False	05d88c5ee	cce3400ea	2026-07-20T11:42:54+01:00	2026-07-20T11:48:12+01:00	included		0		0	0	0	0	0	0	0	0	0	0	0	no_change	no_change	no_change	0	0	no_change	0	no	risky	7	no_change
driver-output-generation	140	141	2	4	work_review	risky	new_valid	1	clean	0		True	a26d90466	ad2379efc	2026-07-23T00:21:31+01:00	2026-07-23T00:28:28+01:00	included		1	3448bf33d	6	2	5	2	1	1	0	5	0	0	3	mixed	authoring	new_tokens	5	2	mixed	0	no	risky	7	authoring
driver-output-generation	141	142	3	4	work_review	risky	clean	0	new_valid	1	low	False	ad2379efc	0b1eaced3	2026-07-23T00:28:28+01:00	2026-07-23T00:40:35+01:00	included		0		0	0	0	0	0	0	0	0	0	0	0	no_change	no_change	no_change	0	0	no_change	0	no	risky	7	no_change
driver-output-generation	142	143	4	4	work_review	risky	new_valid	1	clean	0		True	0b1eaced3	59135c095	2026-07-23T00:40:35+01:00	2026-07-23T00:57:28+01:00	included		1	11366940a	19	39	17	34	1	1	0	17	0	0	15	mixed	authoring	new_tokens	17	34	mixed	0	no	risky	7	authoring
