source_file	step_or_task	round_number	finding_id	severity_raised	severity_ruled	verdict	class	provenance	provenance_round	provenance_quote	escaped	reviewer_lens
docs/plans/agent-scaffold.reviews/agent-isolation-triage.md	agent-isolation	unknown	R1	low	none	dismissed	prose	pre_existing	unstated	The divergence risk is real but is inherent to the prompt-mirrors-AGENTS.md design already in use throughout the pack, and is not introduced or worsened by this change.	unknown	opus
docs/plans/agent-scaffold.reviews/agent-isolation-triage.md	agent-isolation	unknown	R2+S1	low/medium	low	valid	prose	unstated	unstated		unknown	opus+sonnet
docs/plans/agent-scaffold.reviews/agent-isolation-triage.md	agent-isolation	unknown	S2	low	low	valid	prose	unstated	unstated		unknown	sonnet
docs/plans/agent-scaffold.reviews/agent-isolation-triage.md	agent-isolation	unknown	R3	low	low	dismissed	prose	unstated	unstated		unknown	opus
docs/plans/agent-scaffold.reviews/backlog-promotion-triage.md	backlog-promotion	unknown	B-1	low	low	valid	prose	unstated	unstated		unknown	unstated
docs/plans/agent-scaffold.reviews/checks-runner-worktree-name-collision-r3-triage.md	checks-runner-worktree-name-collision	3	T3-1	low	low	valid	prose	introduced_by_prior_fix	1,2	The round-1 fix added the fourth to the paragraph only, half-falsifying it; the round-2 fix replaced the bullet's enumeration with a delegation, which removed the last thing "above" pointed at.	unknown	verification
docs/plans/agent-scaffold.reviews/checks-runner-worktree-name-collision-r3-triage.md	checks-runner-worktree-name-collision	3	T3-2	low	low	valid	prose	introduced_by_prior_fix	2	So the restrictive noun at `:62` was left behind by the same edit that corrected it at `:94`, which puts this squarely in the class this round was asked to hunt.	unknown	verification
docs/plans/agent-scaffold.reviews/checks-runner-worktree-name-collision-triage.md	checks-runner-worktree-name-collision-inc1	1	T1	low/medium	medium	valid	test	unstated	unstated		unknown	adversarial+evidence
docs/plans/agent-scaffold.reviews/checks-runner-worktree-name-collision-triage.md	checks-runner-worktree-name-collision-inc1	1	T2	medium	medium	valid	code	unstated	unstated		unknown	adversarial
docs/plans/agent-scaffold.reviews/checks-runner-worktree-name-collision-triage.md	checks-runner-worktree-name-collision-inc1	1	T3	medium	medium	valid	prose	unstated	unstated		unknown	adversarial
docs/plans/agent-scaffold.reviews/checks-runner-worktree-name-collision-triage.md	checks-runner-worktree-name-collision-inc1	1	T4	low	low	accept_residual	test	unstated	unstated		unknown	evidence
docs/plans/agent-scaffold.reviews/checks-runner-worktree-name-collision-triage.md	checks-runner-worktree-name-collision-inc1	1	T5	low	low	accept_residual	test	unstated	unstated		unknown	adversarial
docs/plans/agent-scaffold.reviews/checks-runner-worktree-name-collision-triage.md	checks-runner-worktree-name-collision-inc1	1	T6	low	low	valid	test	unstated	unstated		unknown	adversarial+evidence
docs/plans/agent-scaffold.reviews/checks-runner-worktree-name-collision-triage.md	checks-runner-worktree-name-collision-inc1	1	T7	low	low	accept_residual	test	unstated	unstated		unknown	evidence
docs/plans/agent-scaffold.reviews/checks-runner-worktree-name-collision-triage.md	checks-runner-worktree-name-collision-inc1	1	T8	low	low	dismissed	prose	unstated	unstated		unknown	evidence
docs/plans/agent-scaffold.reviews/checks-runner-worktree-name-collision-triage.md	checks-runner-worktree-name-collision-inc1	1	T9	low	low	dismissed	prose	unstated	unstated		unknown	evidence
docs/plans/agent-scaffold.reviews/checks-runner-worktree-name-collision-triage.md	checks-runner-worktree-name-collision-inc1	1	T10	low	low	accept_residual	test	unstated	unstated		unknown	evidence
docs/plans/agent-scaffold.reviews/checks-runner-worktree-name-collision-triage-r3.md	checks-runner-worktree-name-collision-inc1	3	AD1a	medium	medium	valid	test	unstated	unstated		no	adversarial
docs/plans/agent-scaffold.reviews/checks-runner-worktree-name-collision-triage-r3.md	checks-runner-worktree-name-collision-inc1	3	AD1b	medium	low	accept_residual	test	unstated	unstated		unknown	adversarial
docs/plans/agent-scaffold.reviews/checks-runner-worktree-name-collision-triage-r3.md	checks-runner-worktree-name-collision-inc1	3	AD2	low	low	valid	test	introduced_by_prior_fix	2	An assertion introduced by the fix that does not reliably pin what its own failure message says it pins is squarely inside "manufacture nothing new".	unknown	adversarial
docs/plans/agent-scaffold.reviews/checks-runner-worktree-name-collision-triage-r3.md	checks-runner-worktree-name-collision-inc1	3	AD3	low	low	valid	prose	introduced_by_prior_fix	2	`AD3` exists because `6a726ed`'s prose pass authored a motivation paragraph that its own tests falsified	unknown	adversarial
docs/plans/agent-scaffold.reviews/code-value-audit-static-inc1-round2-triage.md	code-value-audit-static-inc1	2	F1	low	low	valid	prose	unstated	unstated		unknown	verification
docs/plans/agent-scaffold.reviews/code-value-audit-static-inc2-triage.md	code-value-audit-static-inc2	1	M1	medium	low	valid	prose	unstated	unstated		unknown	contract
docs/plans/agent-scaffold.reviews/code-value-audit-static-inc2-triage.md	code-value-audit-static-inc2	1	M2	medium	medium	valid	test	unstated	unstated		unknown	contract
docs/plans/agent-scaffold.reviews/code-value-audit-static-inc2-triage.md	code-value-audit-static-inc2	1	L1	low	low	valid	test	unstated	unstated		unknown	contract
docs/plans/agent-scaffold.reviews/code-value-audit-static-inc2-triage.md	code-value-audit-static-inc2	1	N1	low	low	valid	code	unstated	unstated		unknown	correctness
docs/plans/agent-scaffold.reviews/code-value-audit-static-inc2-triage.md	code-value-audit-static-inc2	1	N2	low	low	valid	code	unstated	unstated		unknown	correctness
docs/plans/agent-scaffold.reviews/code-value-audit-static-inc2-triage.md	code-value-audit-static-inc2	1	N3	low	low	valid	code	unstated	unstated		unknown	correctness
docs/plans/agent-scaffold.reviews/code-value-audit-static-inc2-triage.md	code-value-audit-static-inc2	1	NOTE-stale-comment	unstated	nit	valid	test	unstated	unstated		unknown	correctness
docs/plans/agent-scaffold.reviews/consolidate-triage.md	consolidate-plan	1	Finding 1	medium	medium	valid	prose	unstated	unstated		unknown	unstated
docs/plans/agent-scaffold.reviews/consolidate-triage.md	consolidate-plan	1	Finding 2	medium	low	valid	prose	unstated	unstated		unknown	unstated
docs/plans/agent-scaffold.reviews/consolidate-triage.md	consolidate-plan	1	Finding 3	low	low	valid	prose	unstated	unstated		unknown	unstated
docs/plans/agent-scaffold.reviews/consolidate-triage.md	consolidate-plan	1	Finding 4	low	low	valid	prose	unstated	unstated		unknown	unstated
docs/plans/agent-scaffold.reviews/decision-folder-currency-plan-r3-triage.md	decision-folder-currency-fold	3	DEC-1	medium	medium	valid	prose	introduced_by_prior_fix	2	That is a fix-completeness finding against the round-2 verdict's own stated requirement, raised on text the round-2 fix commit authored.	unknown	decision
docs/plans/agent-scaffold.reviews/decision-folder-currency-plan-r3-triage.md	decision-folder-currency-fold	3	DEC-2	low	low	valid	prose	unstated	unstated		unknown	decision
docs/plans/agent-scaffold.reviews/decision-folder-currency-plan-r3-triage.md	decision-folder-currency-fold	3	DEC-3	low	low	valid	prose	unstated	unstated		unknown	decision
docs/plans/agent-scaffold.reviews/decision-folder-currency-plan-r3-triage.md	decision-folder-currency-fold	3	R3-1	low	low	valid	prose	unstated	unstated		unknown	verification
docs/plans/agent-scaffold.reviews/decision-folder-currency-plan-r3-triage.md	decision-folder-currency-fold	3	R3-2	low	low	valid	prose	introduced_by_prior_fix	2	It is text the round-2 fix commit authored (`git diff 09ef94e..981d9f5 -- docs/plans/agent-scaffold.steps/decision-folder-currency.md` shows it replacing the `ledger.md:345` citation `R2-1` flagged), so it is not a re-raise of anything.	no	verification
