source_file	step_or_task	round_number	finding_id	severity_raised	severity_ruled	verdict	class	provenance	provenance_round	provenance_quote	escaped	reviewer_lens
docs/plans/agent-scaffold.reviews/agent-isolation-triage.md	agent-isolation (Q-18)	unknown	R1	low	low (downgraded to non-issue)	dismissed	prose	unstated	unstated		unknown	unstated
docs/plans/agent-scaffold.reviews/agent-isolation-triage.md	agent-isolation (Q-18)	unknown	R2+S1	low(opus)/medium(sonnet)	low	valid	prose	unstated	unstated		unknown	unstated
docs/plans/agent-scaffold.reviews/agent-isolation-triage.md	agent-isolation (Q-18)	unknown	S2	low	low	valid	prose	unstated	unstated		unknown	unstated
docs/plans/agent-scaffold.reviews/agent-isolation-triage.md	agent-isolation (Q-18)	unknown	R3	low	low (reclassified as pending process action)	dismissed	prose	unstated	unstated		unknown	unstated
docs/plans/agent-scaffold.reviews/backlog-clearing-triage.md	backlog-clearing	1	L1	low	low	dismissed	prose	unstated	unstated		unknown	mechanical / consistency / prose
docs/plans/agent-scaffold.reviews/checks-runner-worktree-name-collision-r2-triage.md	checks-runner-worktree-name-collision	2	X1	low	low	accept_residual	test	unstated	unstated		unknown	verification
docs/plans/agent-scaffold.reviews/checks-runner-worktree-name-collision-r2-triage.md	checks-runner-worktree-name-collision	2	X2	medium(adversarial)/low(verification retry half)	medium	valid	test	pre_existing	round 1 (T1)	This is the unfixed remainder of a medium finding, newly measured, not a new argument about a closed one.	yes	adversarial+verification
docs/plans/agent-scaffold.reviews/checks-runner-worktree-name-collision-r2-triage.md	checks-runner-worktree-name-collision	2	X3	medium	medium	valid	test	pre_existing	round 1	the regression it guards is not hypothetical, it happened in this very step, and round 1 rated it medium as a user-facing regression in shipped CLI code.	yes	adversarial
docs/plans/agent-scaffold.reviews/checks-runner-worktree-name-collision-r2-triage.md	checks-runner-worktree-name-collision	2	X4	medium	medium	valid	code	pre_existing	unstated	I extracted the whole prune_orphan_worktrees body from HEAD~2 and from HEAD and diffed them: byte-identical.	unknown	adversarial
docs/plans/agent-scaffold.reviews/checks-runner-worktree-name-collision-r2-triage.md	checks-runner-worktree-name-collision	2	X5	low	low	accept_residual	prose	unstated	unstated		unknown	adversarial
docs/plans/agent-scaffold.reviews/checks-runner-worktree-name-collision-r2-triage.md	checks-runner-worktree-name-collision	2	X6	low	low	accept_residual	code	unstated	unstated		unknown	adversarial
docs/plans/agent-scaffold.reviews/checks-runner-worktree-name-collision-r2-triage.md	checks-runner-worktree-name-collision	2	X7	low	low	valid	prose	unstated	unstated		unknown	verification
docs/plans/agent-scaffold.reviews/checks-runner-worktree-name-collision-r2-triage.md	checks-runner-worktree-name-collision	2	X8	low	low	valid	prose	unstated	unstated		unknown	verification
docs/plans/agent-scaffold.reviews/checks-runner-worktree-name-collision-triage.md	checks-runner-worktree-name-collision	1	T1	low(evidence)/medium(adversarial)	medium	valid	test	unstated	unstated		no	adversarial+evidence
docs/plans/agent-scaffold.reviews/checks-runner-worktree-name-collision-triage.md	checks-runner-worktree-name-collision	1	T2	medium	medium	valid	code	unstated	unstated		no	adversarial
docs/plans/agent-scaffold.reviews/checks-runner-worktree-name-collision-triage.md	checks-runner-worktree-name-collision	1	T3	medium	medium	valid	prose	unstated	unstated		no	adversarial
docs/plans/agent-scaffold.reviews/checks-runner-worktree-name-collision-triage.md	checks-runner-worktree-name-collision	1	T4	low	low	accept_residual	test	unstated	unstated		no	evidence
docs/plans/agent-scaffold.reviews/checks-runner-worktree-name-collision-triage.md	checks-runner-worktree-name-collision	1	T5	low	low	accept_residual	test	unstated	unstated		no	adversarial
docs/plans/agent-scaffold.reviews/checks-runner-worktree-name-collision-triage.md	checks-runner-worktree-name-collision	1	T6	low	low	valid	test	unstated	unstated		no	adversarial+evidence
docs/plans/agent-scaffold.reviews/checks-runner-worktree-name-collision-triage.md	checks-runner-worktree-name-collision	1	T7	low	low	accept_residual	test	unstated	unstated		no	evidence
docs/plans/agent-scaffold.reviews/checks-runner-worktree-name-collision-triage.md	checks-runner-worktree-name-collision	1	T8	low	low	dismissed	prose	unstated	unstated		no	evidence
docs/plans/agent-scaffold.reviews/checks-runner-worktree-name-collision-triage.md	checks-runner-worktree-name-collision	1	T9	low	low	dismissed	prose	unstated	unstated		no	evidence
docs/plans/agent-scaffold.reviews/checks-runner-worktree-name-collision-triage.md	checks-runner-worktree-name-collision	1	T10	low	low	accept_residual	test	unstated	unstated		no	evidence
docs/plans/agent-scaffold.reviews/checks-runner-worktree-name-collision-triage-r4.md	checks-runner-worktree-name-collision	4	RG1/MU1	medium	medium	valid	test	introduced_by_prior_fix	round 3 (AD1a)	both trace the same cause: round 3's AD1a fix pinned the CALLER's map_err through the injected claim seam, and the seam by construction never calls the real claim_dir.	no	region+mutation
docs/plans/agent-scaffold.reviews/checks-runner-worktree-name-collision-triage-r4.md	checks-runner-worktree-name-collision	4	RG2	low	low	valid	prose	introduced_by_prior_fix	round 2	The test that falsifies the sentence landed before the sentence; it was false the day it was written and stayed false through two subsequent rounds.	yes	region
docs/plans/agent-scaffold.reviews/checks-runner-worktree-name-collision-triage-r4.md	checks-runner-worktree-name-collision	4	RG3	low	low	accept_residual	test	unstated	unstated		unknown	region
docs/plans/agent-scaffold.reviews/checks-runner-worktree-name-collision-triage-r4.md	checks-runner-worktree-name-collision	4	RG4	low	low	valid	prose	unstated	unstated		unknown	region
docs/plans/agent-scaffold.reviews/code-value-audit-static-inc1-triage.md	code-value-audit-static-inc1 (Q-52)	1	CORR-1	low	low	valid	code	unstated	unstated		no	correctness
docs/plans/agent-scaffold.reviews/code-value-audit-static-inc1-triage.md	code-value-audit-static-inc1 (Q-52)	1	CORR-2	low	low	valid	code	unstated	unstated		no	correctness
docs/plans/agent-scaffold.reviews/code-value-audit-static-inc1-triage.md	code-value-audit-static-inc1 (Q-52)	1	CORR-3	low	low	valid	code	unstated	unstated		no	correctness
docs/plans/agent-scaffold.reviews/code-value-audit-static-inc1-triage.md	code-value-audit-static-inc1 (Q-52)	1	CONTR-1	low	low	valid	prose	unstated	unstated		no	contract
docs/plans/agent-scaffold.reviews/code-value-audit-static-inc1-triage.md	code-value-audit-static-inc1 (Q-52)	1	CONTR-2	low	low	valid	prose	unstated	unstated		no	contract
docs/plans/agent-scaffold.reviews/code-value-audit-static-inc2-triage.md	code-value-audit-static-inc2 (Q-52)	1	M1	medium	low	valid	prose	unstated	unstated		no	contract
docs/plans/agent-scaffold.reviews/code-value-audit-static-inc2-triage.md	code-value-audit-static-inc2 (Q-52)	1	M2	medium	medium	valid	test	unstated	unstated		no	contract
docs/plans/agent-scaffold.reviews/code-value-audit-static-inc2-triage.md	code-value-audit-static-inc2 (Q-52)	1	L1	low	low	valid	test	unstated	unstated		no	contract
docs/plans/agent-scaffold.reviews/code-value-audit-static-inc2-triage.md	code-value-audit-static-inc2 (Q-52)	1	N1	low	low	valid	code	unstated	unstated		no	correctness
docs/plans/agent-scaffold.reviews/code-value-audit-static-inc2-triage.md	code-value-audit-static-inc2 (Q-52)	1	N2	low	low	valid	code	unstated	unstated		no	correctness
docs/plans/agent-scaffold.reviews/code-value-audit-static-inc2-triage.md	code-value-audit-static-inc2 (Q-52)	1	N3	low	low	valid	code	unstated	unstated		no	correctness
docs/plans/agent-scaffold.reviews/code-value-audit-static-inc2-triage.md	code-value-audit-static-inc2 (Q-52)	1	NIT-1	nit	nit	valid	prose	unstated	unstated		no	correctness
docs/plans/agent-scaffold.reviews/compaction-prep-triage.md	compaction-prep (Q-15/Q-19)	unknown	Group1(R2+S1+S2)	medium(opus R2)/medium(sonnet S1)/low(sonnet S2)	medium(compaction-prep instance)/low(resume instance)	valid	prose	unstated	unstated		unknown	opus+sonnet
docs/plans/agent-scaffold.reviews/compaction-prep-triage.md	compaction-prep (Q-15/Q-19)	unknown	R1	low	low	valid	prose	unstated	unstated		unknown	opus
docs/plans/agent-scaffold.reviews/compaction-prep-triage.md	compaction-prep (Q-15/Q-19)	unknown	S3	low	low	valid	prose	unstated	unstated		unknown	sonnet
docs/plans/agent-scaffold.reviews/decision-folder-currency-plan-r2-triage.md	decision-folder-currency-fold (step 90)	2	NEW-1	high	high	valid	prose	introduced_by_prior_fix	round 1 fix pass	The Q-69 ask kept the no-blame half of that hedge and dropped the epistemic half, converting an admitted unknown into an asserted fact.	no	newcontent
docs/plans/agent-scaffold.reviews/decision-folder-currency-plan-r2-triage.md	decision-folder-currency-fold (step 90)	2	NEW-2	medium	medium	valid	prose	unstated	unstated		unknown	newcontent
docs/plans/agent-scaffold.reviews/decision-folder-currency-plan-r2-triage.md	decision-folder-currency-fold (step 90)	2	NEW-3	low	low	valid	prose	unstated	unstated		unknown	newcontent
docs/plans/agent-scaffold.reviews/decision-folder-currency-plan-r2-triage.md	decision-folder-currency-fold (step 90)	2	NEW-4	low	low	valid	prose	unstated	unstated		unknown	newcontent
docs/plans/agent-scaffold.reviews/decision-folder-currency-plan-r2-triage.md	decision-folder-currency-fold (step 90)	2	R2-1	low	low	valid	prose	introduced_by_prior_fix	round 1 fix pass	The fix pass copied it from that triage file into a tree where the correct number was already 355.	no	verification
